score;segment;navn;orgnr;orgform;kanal;epost;telefon;hjemmeside;adresse;postnr;poststed;kommune;ansatte;naeringskode;registrert;formaal;score_grunnlag
95;eiendom;IL TAKST AS;871055912;AS;e-post/telefon;post@iltakst.no;46 63 33 80;www.iltakst.no;Stallbakken 1;3675;NOTODDEN;NOTODDEN;8;68.320 Eiendomsforvaltning på oppdrag;1995-02-19;Taksering av eiendommer, skader m.m.  ;skade/forsikring i formål + 8 ansatte + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
95;eiendom;TAKST VEST AS;922602565;AS;e-post/telefon;post@takstvest.no;900 71 537;www.takstvest.no;Parkvegen 5;6856;SOGNDAL;SOGNDAL;5;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2019-04-08;Taksering av eiendom, ta oppdrag fra private, selskaper og forsikringsselskaper, deltakelse i andre selskaper, samt hva som står i forbindelse.;skade/forsikring i formål + 5 ansatte + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
95;eiendom;TAKSTOPPDRAG AS;994820281;AS;e-post/telefon;trond@takstoppdrag.no;92667005;www.takstoppdrag.no;Vallaskaret 32;5227;NESTTUN;BERGEN;5;68.320 Eiendomsforvaltning på oppdrag;2009-11-26;Boligtaksering, skadetaksering, utarbeidelse av boligsalgsrapporter og salg av konsulenttjenester i forbindelse med dette.;skade/forsikring i formål + 5 ansatte + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
90;eiendom;NORDFJORD TAKST CONSULTING AS;813059282;AS;e-post/telefon;jon.aage@riksfjord.com;450 56 603;;Sjøgata 4A;6770;NORDFJORDEID;STAD;10;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2014-01-13;Verditaksering av ulike typer eiendommer, skadetaksering, løsøretaksering, thermografering, prosjektering, prosjektstyring og byggeledelse. Investere i andre selskap med økonomisk formål.;skade/forsikring i formål + 10 ansatte + eiendom i formål + AS (e-post lovlig) + e-post i registeret
85;eiendom;RYGJA TAKST AS;934146239;AS;e-post/telefon;;;;Gjesdalbakken 11;4306;SANDNES;SANDNES;5;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2024-09-23;Skadetaksering i forbindelse med forsikringsoppgjør. Tilstandsvurdering og verdivurdering i forbindelse med boligsalg.;skade/forsikring i formål + 5 ansatte + eiendom i formål + AS (e-post lovlig)
85;eiendom;TAKST-GRUPPEN AS;998610931;AS;e-post/telefon;post@takst-gruppen.no;971 86 249;www.takst-gruppen.no;Welhavens vei 9;4319;SANDNES;SANDNES;5;68.320 Eiendomsforvaltning på oppdrag;2012-07-11;Verdi- og skadetaksering, konsulentarbeid og annet som naturlig faller sammen med dette.;skade/forsikring i formål + 5 ansatte + AS (e-post lovlig) + e-post i registeret + hjemmeside
80;eiendom;TAKSTFORUM NORD AS;980410854;AS;e-post/telefon;post@takstforumnord.no;75 50 06 10;;Olav V gate 96B;8004;BODØ;BODØ;5;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;1999-01-29;Takstforretning, taksering av skader og verdivurdering av eiendeler og andre konsulentoppgaver.;skade/forsikring i formål + 5 ansatte + AS (e-post lovlig) + e-post i registeret
75;eiendom;TAKSTKJEDEN AS;926080253;AS;e-post/telefon;;;;Storgaten 81B;3060;SVELVIK;DRAMMEN;7;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2020-12-02;Taksering av skader på bygninger og eiendeler.;skade/forsikring i formål + 7 ansatte + AS (e-post lovlig)
70;eiendom;DIN TAKST AS;997345703;AS;e-post/telefon;brede@dintakst.no;99567766;www.dintakst.no;Nedre Rælingsveg 622;2009;NORDBY;RÆLINGEN;0;68.320 Eiendomsforvaltning på oppdrag;2011-09-15;Taksering av fast eiendom og taksering av skade på fast eiendom.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
70;eiendom;FALCK TAKST AS;995343185;AS;e-post/telefon;ricky@falck-takst.no;971 20 752;www.falck-takst.no;O.J. Brochs gate 16A;5006;BERGEN;BERGEN;0;68.320 Eiendomsforvaltning på oppdrag;2010-03-27;Alt innen bygg og boligtaksering (verdi, skade, skjønn, konsulent, kontroll). Salg av varer og tjenester som tilhører tittel Murmester bedrift.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
70;eiendom;FOLLO TAKST AS;998075572;AS;e-post/telefon;morten@follo-takst.no;957 81 845;www.follo-takst.no;Austliveien 8B;1423;SKI;NORDRE FOLLO;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2012-03-10;"Takst og konsulentvirksomhet innen bygg og eiendom; skade og verditaksering, boligsalgsrapporter, naturskader samt uavhengig byggteknisk kontrollvirksomhet, og oppføring av bygg, og andre tjenester og produkter som naturlig faller sammen med dette.";skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
70;eiendom;HOVE TAKSERING AS;936994326;AS;e-post/telefon;post@hovetaksering.no;414 01 080;www.hovetaksering.no;Helgeplasset 15;5148;FYLLINGSDALEN;BERGEN;;68.320 Eiendomsforvaltning på oppdrag;2026-01-19;Tilstandsanalyse av bolig, verditaksering av bolig, skade taksering, Teknisk taksering av bolig, Rådgivning innen bygg. Utførelse av mindre byggeoppdrag.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
